Start Time,End Time,Type,Comments
Tue Mar 04 10:34:07 PST 2014,Tue Mar 04 10:40:01 PST 2014,Walk trip,
Tue Mar 04 10:40:01 PST 2014,Tue Mar 04 10:50:04 PST 2014,Non-walk trip,Bike
Tue Mar 04 10:50:04 PST 2014,Tue Mar 04 11:04:49 PST 2014,Walk trip,
Tue Mar 04 11:04:49 PST 2014,Tue Mar 04 12:23:33 PST 2014,Hole,Class at Blum
Tue Mar 04 12:23:33 PST 2014,Tue Mar 04 12:28:41 PST 2014,Activity,Meal
Tue Mar 04 12:28:41 PST 2014,Tue Mar 04 13:18:08 PST 2014,Hole,Meal
Tue Mar 04 13:18:08 PST 2014,Tue Mar 04 13:18:29 PST 2014,Walk trip,
Tue Mar 04 13:18:29 PST 2014,Tue Mar 04 17:00:44 PST 2014,Hole,
Tue Mar 04 17:00:44 PST 2014,Tue Mar 04 17:25:25 PST 2014,Hole,2:00-5:00 class at Davis
Tue Mar 04 17:25:25 PST 2014,Tue Mar 04 17:28:48 PST 2014,Walk trip,
Tue Mar 04 17:28:48 PST 2014,Tue Mar 04 18:06:19 PST 2014,Activity,Meal
Tue Mar 04 18:06:19 PST 2014,Tue Mar 04 18:13:50 PST 2014,Walk trip,Bike
Tue Mar 04 18:13:50 PST 2014,Tue Mar 04 18:15:26 PST 2014,Non-walk trip,Bike
Tue Mar 04 18:15:26 PST 2014,Tue Mar 04 18:17:32 PST 2014,Walk trip,Bike
Tue Mar 04 18:17:32 PST 2014,Tue Mar 04 18:24:47 PST 2014,Non-walk trip,Bike
Tue Mar 04 18:24:47 PST 2014,Tue Mar 04 22:02:49 PST 2014,Activity,Home
