Start Time,End Time,Type,Comments
Mon Mar 10 05:24:37 PDT 2014,Mon Mar 10 11:38:34 PDT 2014,Activity
Mon Mar 10 11:38:34 PDT 2014,Mon Mar 10 11:51:10 PDT 2014,Walk trip
Mon Mar 10 11:51:10 PDT 2014,Mon Mar 10 11:53:40 PDT 2014,Non-walk trip
Mon Mar 10 11:53:40 PDT 2014,Mon Mar 10 12:04:23 PDT 2014,Activity
Mon Mar 10 12:04:23 PDT 2014,Mon Mar 10 13:32:53 PDT 2014,Activity
Mon Mar 10 13:32:53 PDT 2014,Mon Mar 10 13:34:13 PDT 2014,Walk trip
Mon Mar 10 13:34:13 PDT 2014,Mon Mar 10 13:46:23 PDT 2014,Activity
Mon Mar 10 13:46:23 PDT 2014,Mon Mar 10 15:11:05 PDT 2014,Activity
Mon Mar 10 15:11:05 PDT 2014,Mon Mar 10 15:12:35 PDT 2014,Non-walk trip
Mon Mar 10 15:12:35 PDT 2014,Mon Mar 10 15:19:05 PDT 2014,Walk trip
Mon Mar 10 15:19:05 PDT 2014,Mon Mar 10 15:23:06 PDT 2014,Non-walk trip
Mon Mar 10 15:23:06 PDT 2014,Mon Mar 10 15:29:04 PDT 2014,Walk trip
Mon Mar 10 15:29:04 PDT 2014,Mon Mar 10 15:30:37 PDT 2014,Non-walk trip
Mon Mar 10 15:30:37 PDT 2014,Mon Mar 10 15:33:41 PDT 2014,Walk trip
Mon Mar 10 15:33:41 PDT 2014,Mon Mar 10 15:39:11 PDT 2014,Non-walk trip
Mon Mar 10 15:39:11 PDT 2014,Mon Mar 10 20:06:17 PDT 2014,Activity
Mon Mar 10 20:06:17 PDT 2014,Mon Mar 10 20:07:47 PDT 2014,Walk trip
Mon Mar 10 20:07:47 PDT 2014,Mon Mar 10 20:16:19 PDT 2014,Activity
Mon Mar 10 20:16:19 PDT 2014,Mon Mar 10 20:21:49 PDT 2014,Walk trip
Mon Mar 10 20:21:49 PDT 2014,Mon Mar 10 21:43:02 PDT 2014,Hole
Mon Mar 10 21:43:02 PDT 2014,Mon Mar 10 21:49:37 PDT 2014,Hole
Mon Mar 10 21:49:37 PDT 2014,Mon Mar 10 21:55:07 PDT 2014,Walk trip
Mon Mar 10 21:55:07 PDT 2014,Mon Mar 10 22:02:09 PDT 2014,Activity
Mon Mar 10 22:02:09 PDT 2014,Tue Mar 11 02:59:57 PDT 2014,Activity
