Start Time,End Time,Type,Comments
Thu Mar 06 07:13:49 PST 2014,Thu Mar 06 07:35:56 PST 2014,Activity
Thu Mar 06 07:35:56 PST 2014,Thu Mar 06 07:44:52 PST 2014,Non-walk trip
Thu Mar 06 07:44:52 PST 2014,Thu Mar 06 07:49:49 PST 2014,Walk trip
Thu Mar 06 07:49:49 PST 2014,Thu Mar 06 11:32:46 PST 2014,Activity
Thu Mar 06 11:32:46 PST 2014,Thu Mar 06 11:34:48 PST 2014,Walk trip
Thu Mar 06 11:34:48 PST 2014,Thu Mar 06 11:52:37 PST 2014,Hole
Thu Mar 06 11:52:37 PST 2014,Thu Mar 06 12:18:18 PST 2014,Hole
Thu Mar 06 12:18:18 PST 2014,Thu Mar 06 12:19:50 PST 2014,Walk trip
Thu Mar 06 12:19:50 PST 2014,Thu Mar 06 16:28:34 PST 2014,Hole
Thu Mar 06 16:28:34 PST 2014,Thu Mar 06 16:30:51 PST 2014,Walk trip
Thu Mar 06 16:30:51 PST 2014,Thu Mar 06 17:50:45 PST 2014,Hole
Thu Mar 06 17:50:45 PST 2014,Thu Mar 06 18:04:16 PST 2014,Activity
Thu Mar 06 18:04:16 PST 2014,Thu Mar 06 18:04:58 PST 2014,Non-walk trip
Thu Mar 06 18:04:58 PST 2014,Thu Mar 06 18:12:35 PST 2014,Activity
Thu Mar 06 18:12:35 PST 2014,Thu Mar 06 18:27:28 PST 2014,Walk trip
Thu Mar 06 18:27:28 PST 2014,Thu Mar 06 18:35:34 PST 2014,Activity
Thu Mar 06 18:35:34 PST 2014,Thu Mar 06 18:46:41 PST 2014,Walk trip
Thu Mar 06 18:46:41 PST 2014,Thu Mar 06 19:29:31 PST 2014,Activity
