Start Time,End Time,Type,Comments
Wed Mar 05 08:36:44 PST 2014,Wed Mar 05 09:04:14 PST 2014,Walk trip,
Wed Mar 05 09:04:14 PST 2014,Wed Mar 05 09:10:29 PST 2014,Non-walk trip,
Wed Mar 05 09:10:29 PST 2014,Wed Mar 05 11:49:19 PST 2014,Activity,
Wed Mar 05 11:49:19 PST 2014,Wed Mar 05 11:51:03 PST 2014,Non-walk trip,
Wed Mar 05 11:51:03 PST 2014,Wed Mar 05 11:59:30 PST 2014,Activity,
Wed Mar 05 11:59:30 PST 2014,Wed Mar 05 12:06:12 PST 2014,Non-walk trip,
Wed Mar 05 12:06:12 PST 2014,Wed Mar 05 12:19:03 PST 2014,Walk trip,
Wed Mar 05 12:19:03 PST 2014,Wed Mar 05 12:59:20 PST 2014,Activity,
Wed Mar 05 12:59:20 PST 2014,Wed Mar 05 13:02:46 PST 2014,Walk trip,
Wed Mar 05 13:02:46 PST 2014,Wed Mar 05 13:12:31 PST 2014,Hole,
Wed Mar 05 13:12:31 PST 2014,Wed Mar 05 13:17:16 PST 2014,Walk trip,
Wed Mar 05 13:17:16 PST 2014,Wed Mar 05 15:04:07 PST 2014,Hole,
Wed Mar 05 15:04:07 PST 2014,Wed Mar 05 15:06:25 PST 2014,Walk trip,
Wed Mar 05 15:06:25 PST 2014,Wed Mar 05 18:03:57 PST 2014,Hole,
Wed Mar 05 18:03:57 PST 2014,Wed Mar 05 18:15:29 PST 2014,Non-walk trip,Bike
Wed Mar 05 18:15:29 PST 2014,Wed Mar 05 18:23:23 PST 2014,Walk trip,Walk
Wed Mar 05 18:23:23 PST 2014,Wed Mar 05 19:57:28 PST 2014,Activity,Sleep at Dave's
