Start Time,End Time,Type,Comments
Wed Mar 05 08:52:58 PST 2014,Wed Mar 05 09:20:01 PST 2014,Activity,Household chores at Home
Wed Mar 05 09:20:01 PST 2014,Wed Mar 05 09:25:33 PST 2014,Hole,Missed my transit trip
Wed Mar 05 09:25:33 PST 2014,Wed Mar 05 09:31:06 PST 2014,Walk trip,Walk
Wed Mar 05 09:31:06 PST 2014,Wed Mar 05 10:30:01 PST 2014,Activity,McLaughlin
Wed Mar 05 10:30:01 PST 2014,Wed Mar 05 10:33:31 PST 2014,Non-walk trip,Was at McLaughlin
Wed Mar 05 10:33:31 PST 2014,Wed Mar 05 12:36:34 PST 2014,Activity,McLaughlin
Wed Mar 05 12:36:34 PST 2014,Wed Mar 05 13:32:40 PST 2014,Hole,
Wed Mar 05 13:32:40 PST 2014,Wed Mar 05 17:41:35 PST 2014,Activity,McLaughlin
Wed Mar 05 17:41:35 PST 2014,Wed Mar 05 18:02:39 PST 2014,Walk trip,
Wed Mar 05 18:02:39 PST 2014,Wed Mar 05 18:11:41 PST 2014,Activity,
Wed Mar 05 18:11:41 PST 2014,Wed Mar 05 18:30:03 PST 2014,Walk trip,
