Start Time,End Time,Type,Comments
Wed Mar 05 08:45:11 PST 2014,Wed Mar 05 09:44:59 PST 2014,Activity
Wed Mar 05 09:44:59 PST 2014,Wed Mar 05 09:51:59 PST 2014,Walk trip
Wed Mar 05 09:51:59 PST 2014,Wed Mar 05 10:15:09 PST 2014,Hole
Wed Mar 05 10:15:09 PST 2014,Wed Mar 05 10:15:55 PST 2014,Walk trip
Wed Mar 05 10:15:55 PST 2014,Wed Mar 05 10:26:23 PST 2014,Hole
Wed Mar 05 10:26:23 PST 2014,Wed Mar 05 10:45:01 PST 2014,Walk trip
Wed Mar 05 10:45:01 PST 2014,Wed Mar 05 10:48:57 PST 2014,Hole
Wed Mar 05 10:48:57 PST 2014,Wed Mar 05 17:00:39 PST 2014,Activity
Wed Mar 05 17:00:39 PST 2014,Wed Mar 05 17:13:20 PST 2014,Walk trip
Wed Mar 05 17:13:20 PST 2014,Thu Mar 06 01:19:29 PST 2014,Activity
