Start Time,End Time,Type,Comments
Mon Mar 17 16:28:26 PDT 2014,Mon Mar 17 19:11:45 PDT 2014,Activity
Mon Mar 17 19:11:45 PDT 2014,Mon Mar 17 21:28:04 PDT 2014,Activity
Mon Mar 17 21:28:04 PDT 2014,Mon Mar 17 21:30:35 PDT 2014,Walk trip
Mon Mar 17 21:30:35 PDT 2014,Mon Mar 17 21:32:36 PDT 2014,Non-walk trip
Mon Mar 17 21:32:36 PDT 2014,Mon Mar 17 21:34:38 PDT 2014,Walk trip
Mon Mar 17 21:34:38 PDT 2014,Mon Mar 17 21:36:39 PDT 2014,Non-walk trip
Mon Mar 17 21:36:39 PDT 2014,Mon Mar 17 21:39:43 PDT 2014,Walk trip
Mon Mar 17 21:39:43 PDT 2014,Mon Mar 17 22:01:54 PDT 2014,Activity
Mon Mar 17 22:01:54 PDT 2014,Mon Mar 17 22:05:57 PDT 2014,Walk trip
Mon Mar 17 22:05:57 PDT 2014,Mon Mar 17 22:42:45 PDT 2014,Activity
Mon Mar 17 22:42:45 PDT 2014,Mon Mar 17 22:49:51 PDT 2014,Walk trip
Mon Mar 17 22:49:51 PDT 2014,Tue Mar 18 02:11:14 PDT 2014,Activity
Tue Mar 18 02:11:14 PDT 2014,Tue Mar 18 02:17:50 PDT 2014,Hole
Tue Mar 18 02:17:50 PDT 2014,Tue Mar 18 02:59:47 PDT 2014,Activity
